CNJ,NATURE,SUBJECT,IsCriminal,JusticeSegmentVerifier,NatureVerifier,NatureVerifier2,SubjectVerifier,IsCriminalVerifier
0000076-09.2017.4.03.0000,HCCrim - SP,"Tráfico de drogas e condutas afins ( Lei 11.343/06, art. 33, caput e § 1º) - Crimes de Tráfico Ilícito e Uso Indevido de Drogas (Lei 11.343/06) - Crimes Previstos na Legislação Extravagante - Direito Penal
Prisão Preventiva - Direito Processual Penal
AÇÃO PENAL PÚBLICA (PROCEDIMENTO CRIMINAL COMUM)",TRUE,ok,ok,ok,ok,true
1001980-30.2021.8.26.0292,Execução de Pena de Multa,Pena de Multa,FALSE,ok,ok,ok,ok,true
0004127-76.2014.8.14.0049,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,TRUE,ok,ok,ok,ok,true
1500391-48.2019.8.26.0604,PROCEDIMENTO ESPECIAL DA LEI ANTITÓXICOS,Tráfico de Drogas e Condutas Afins,TRUE,ok,ok,ok,ok,true
0027898-23.2013.8.16.0030,- Execução da Pena,7791 - Pena Privativa de Liberdade,FALSE,ok,ok,ok,ok,true
0007200-42.2019.8.16.0173,- Execução da Pena,,FALSE,ok,ok,ok,vazio,true
0000293-05.2019.4.03.6104,158 . LIBERDADE PROVISORIA COM OU SEM FIANCA,"LEVE (ART. 129, CAPUT) - LESOES CORPORAIS -  DIREITO PENAL",TRUE,ok,ok,ok,ok,true
0800188-55.2012.8.12.0025,Liberdade Provisória com ou sem fiança,"Liberdade Provisória, Crimes de Trânsito",TRUE,ok,ok,ok,ok,true
5243338-34.2019.8.09.0075,PROCESSO CRIMINAL -> Cartas -> Carta Precatória Criminal,Finalidade - INTIMACAO E INQUIRICAO,TRUE,ok,ok,ok,no,true
0013627-73.2018.8.08.0024,Juizado Especial Criminal,Representação Criminal/Notícia de Crime,TRUE,ok,ok,ok,ok,true
0000615-45.2021.8.16.0159,Relaxamento de Prisão,Tráfico de Drogas e Condutas Afins,TRUE,ok,ok,ok,ok,true
5017512-29.2018.4.04.0000,Habeas Corpus,"Estelionato majorado (art. 171, § 3º), Crimes contra o Patrimônio, DIREITO PENAL",TRUE,ok,ok,ok,ok,true
0001951-51.2018.8.26.0502,Execução Provisória,Regime Inicial - Fechado,TRUE,ok,ok,no,ok,true
1500615-65.2019.8.26.0222,Ação Penal - Procedimento Sumaríssimo,Crimes de Trânsito,TRUE,ok,ok,ok,ok,true
5000547-66.2022.8.13.0059,[CRIMINAL] AUTO DE PRISÃO EM FLAGRANTE,DIREITO PENAL / Crimes contra o Patrimônio / Furt,TRUE,ok,ok,ok,ok,true
1013024-37.2021.8.11.0042,AUTO DE PRISÃO EM FLAGRANTE,Ameaça (3402) Injúria (10750),TRUE,ok,ok,ok,ok,true
0019263-93.2013.8.08.0024,Criminal,,TRUE,ok,ok,ok,vazio,true
0002486-98.2013.4.03.6137,60 . CARTA PRECATORIA,CARTAS PRECATORIA/ROGATORIA/ORDEM - CRIMINAL   CP N. 164/2013 - INTIMACAO DO ADVOGADO DATIVO,TRUE,ok,ok,no,ok,true
0000434-16.2018.4.03.6118,. ACAO PENAL - PROCEDIMENTO ORDINARIO,USO DE DOCUMENTO FALSO (ART. 3O4) - CRIMES CONTRA A FE PUBLICA - DIREITO PENAL,TRUE,ok,ok,ok,ok,true
1500164-63.2020.8.26.0106,Pedido de Prisão Temporária,Roubo,TRUE,ok,ok,ok,ok,true
5000515-95.2019.4.03.6132,. INQUERITO POLICIAL,CONTRABANDO OU DESCAMINHO (ART. 334) - CRIMES PRATICADOS POR PARTICULAR CONTRA A ADMINISTRACAO EM GERAL - DIREITO PENAL,TRUE,ok,ok,ok,ok,true
5613746-98.2020.8.09.0088,PROCESSO CRIMINAL -> Procedimentos Investigatórios -> Termo Circunstanciado,DIREITO PENAL -> Contravenções Penais -> Perturbação do trabalho ou do sossego alheios - DL 3688/1941,TRUE,ok,ok,ok,ok,true
0010947-42.2020.8.06.0173,Liberdade Provisória com ou sem fiança,Tráfico de Drogas e Condutas Afins,TRUE,ok,ok,ok,ok,true
0009956-05.2019.8.21.0005,PRECATÓRIAS CRIMINAIS - Precatória de Interrogatório,,TRUE,ok,ok,ok,vazio,true
0000312-18.2022.8.17.2180,CARTA PRECATÓRIA CRIMINAL,Citação (11783),TRUE,ok,ok,ok,no,true
0006983-88.2018.8.26.0000,REVISÃO CRIMINAL,DIREITO PENAL - Crimes contra o Patrimônio - Roubo Majorado,TRUE,ok,ok,ok,ok,true
0029298-88.2016.8.26.0224,Inquérito Policial,Tráfico de Drogas e Condutas Afins,TRUE,ok,ok,ok,ok,true
0000485-44.2019.4.01.3306,AÇÃO PENAL - PROCEDIMENTO ORDINÁRIO,DIREITO PENAL (287) - Crimes contra a F Pública (3523) - Uso de documento falso (3539,TRUE,ok,ok,ok,ok,true
